number	original_filename	statement_type	purpose
0190	0190_flooring_knowledge_engine.sql	INSERT+UPDATE	1. Maps hard-surface types onto the real catalog families (LVP/LVT vs sheet vinyl, solid vs engineered hardwood) without inventing new product
0191	0191_flooring_knowledge_roll_tile_stairs.sql	INSERT+UPDATE	Closes gaps 0190 left against the estimator workflow: 1. Sheet vinyl is roll goods and needs a layout/cuts capture (area ≠ order).
0192	0192_flooring_knowledge_estimator_gaps.sql	INSERT+UPDATE	Closes remaining estimator gaps without inventing catalog prices: 1. Tack strip is a stretch-in carpet condition (keep / replace / not needed),
0193	0193_flooring_knowledge_subfloor_condition.sql	INSERT+UPDATE	1. Subfloor CONDITION (flat / uneven / cracks / damage / height / moisture) with Unknown / field verify — do not force a bag count before demo.
0194	0194_flooring_knowledge_job_conditions.sql	INSERT+UPDATE	Keys live questions the overlay could not see, and adds the remaining estimator branches that Floor King already prices or needs as scope:
0195	0195_flooring_knowledge_pattern_delivery.sql	INSERT	1. Pattern repeat (inches) when patterned carpet is in play — warehouse / purchasing notes for a future cut engine. Does NOT generate a cut plan.
0196	0196_flooring_knowledge_stair_gates.sql	UPDATE	1. Stair landings / open sides were gated on the deactivated "Stairs being done?" yes/no (`key=stairs`). Live stair capture is the
0197	0197_flooring_knowledge_scope_notes.sql	INSERT	1. Asbestos risk when tearing out old ceramic/sheet vinyl (pre-1985). Scope / warning only — does NOT invent abatement pricing.
0198	0198_flooring_knowledge_vapor_barrier.sql	UPDATE	vapor_barrier show_if is already OR(floating/glue, Concrete). The overlay knowledge_when was AND systems floating|glue, so nail-down hardwood over a
0199	0199_flooring_knowledge_hs_trim.sql	INSERT	Hard-surface doorway transitions and base/shoe/quarter-round were asked as priced choice rows (0081) then deactivated because Trims already captures
0200	0200_flooring_knowledge_prep_gates.sql	UPDATE	Prep questions must follow substrate CONDITION, not fire on every hard-surface job the same way:
